;Variable;Media;DevStd;Min;Max;Media Acumulada
0;P1;0.0;0.0;0.0;0.0;0.0
1;P2;0.1304568527008736;0.683070161251401;0.0;8.104891823325802;0.1304568527008736
2;P3;0.001838935529077005;0.011250416364351855;0.0;0.17053192818673713;0.1322957882299506
3;P4;0.0;0.0;0.0;0.0;0.1322957882299506
4;P5;0.0;0.0;0.0;0.0;0.1322957882299506
5;P6;0.20830570871168583;0.7105404794927941;0.0;7.727583530235255;0.34060149694163644
6;P7;0.0;0.0;0.0;0.0;0.34060149694163644
7;P8;0.005220322547299407;0.021412550396881457;0.0;0.1994501729477402;0.34582181948893587
8;P9;0.0;0.0;0.0;0.0;0.34582181948893587
9;P10;0.0;0.0;0.0;0.0;0.34582181948893587
10;P11;0.5818260783611335;1.406559152058961;0.0;9.76649281329572;0.9276478978500694
11;P12;0.002951902679612105;0.011170447898450245;0.0;0.16194595648067078;0.9305998005296815
12;P13;0.0;0.0;0.0;0.0;0.9305998005296815
13;P14;0.0;0.0;0.0;0.0;0.9305998005296815
14;P15;0.0;0.0;0.0;0.0;0.9305998005296815
15;P16;0.0;0.0;0.0;0.0;0.9305998005296815
16;P17;0.0;0.0;0.0;0.0;0.9305998005296815
17;P18;0.0;0.0;0.0;0.0;0.9305998005296815
18;P19;0.14092680539416563;0.31016048785373745;0.0;2.879309226612617;1.071526605923847
19;P20;3.4072100929518188;5.758967093659933;0.0;46.54119121838868;4.478736698875666
20;P21;0.0;0.0;0.0;0.0;4.478736698875666
21;P22;0.0035344269143757477;0.018864129661056633;0.0;0.296236215659872;4.482271125790042
22;P23;0.0;0.0;0.0;0.0;4.482271125790042
23;P24;0.0;0.0;0.0;0.0;4.482271125790042
24;P25;0.0;0.0;0.0;0.0;4.482271125790042
25;P26;0.011261559091361936;0.02727392620988424;0.0;0.19269181681313724;4.493532684881404
26;P27;0.0;0.0;0.0;0.0;4.493532684881404
27;P28;0.0;0.0;0.0;0.0;4.493532684881404
28;P29;0.0;0.0;0.0;0.0;4.493532684881404
29;P30;0.0;0.0;0.0;0.0;4.493532684881404
30;P31;0.0;0.0;0.0;0.0;4.493532684881404
