INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
5060X;VÉLEZ BLANCO TOPARES;ALMERIA;VÉLEZ-BLANCO;1190;375139;0213412;567903;4190655;ETRS89;;01/01/2010;
6367B;HUERCAL OVERA;ALMERIA;HUÉRCAL-OVERA;300;372326;0156372;593512;4138723;ETRS89;08428;01/04/1988;
7002Y;ÁGUILAS;MURCIA;ÁGUILAS;26;372502;0135132;625041;4142095;ETRS89;08432;01/01/2009;
7007Y;MAZARRÓN/LAS TORRES;MURCIA;MAZARRÓN;66;373517;0113502;656224;4161583;ETRS89;;01/11/2017;
7012C;CARTAGENA;MURCIA;CARTAGENA;17;373604;0059162;677630;4163463;ETRS89;08434;01/09/1988;
7012D;CARTAGENA-TENTEGORRA;MURCIA;CARTAGENA;56;373616;0101242;674483;4163767;ETRS89;08434;01/02/2016;
7017E;CARTAGENA, P.N. DE CALBLANQUE;MURCIA;CARTAGENA;70;373637;0045262;697960;4164942;ETRS89;;01/06/2016;
7019X;CARTAGENA/SALINAS CABO PALOS;MURCIA;CARTAGENA;2;373809;0042562;701570;4167867;ETRS89;;01/02/2022;
7020C;MURCIA AEROPUERTO;MURCIA;MURCIA;205;374827;0107412;664788;4186108;ETRS89;;01/01/2019;
7023X;FUENTE ÁLAMO;MURCIA;FUENTE ÁLAMO DE MURCIA;140;374335;0110022;661516;4177040;ETRS89;;01/12/2007;
7026E;CARTAGENA/CLAUSE SPAIN;MURCIA;CARTAGENA;50;374126;0100012;676313;4173355;ETRS89;;01/03/2011;
7026X;TORRE PACHECO (C.C.A.);MURCIA;TORRE-PACHECO;50;374420;0058032;679088;4178790;ETRS89;;01/04/2005;
7031;MURCIA/SAN JAVIER;MURCIA;SAN JAVIER;4;374720;0048122;693425;4184666;ETRS89;08433;01/08/1944;
7031X;MURCIA/SAN JAVIER II;MURCIA;SAN JAVIER;4;374642;0048212;693232;4183489;ETRS89;08433;01/01/2011;
7032;SAN PEDRO DEL PINATAR, AYTO;MURCIA;SAN PEDRO DEL PINATAR;19;375001;0047382;694138;4189639;ETRS89;;01/09/1955;
7037B;ORIHUELA-PLAYA FLAMENCA;ALICANTE;ORIHUELA;15;375554;0043292;699962;4200676;ETRS89;;01/10/2018;
7038C;TORREVIEJA CIUDAD;ALICANTE;TORREVIEJA;9;375847;0041192;703003;4206087;ETRS89;;01/08/2015;
7038D;TORREVIEJA-IES TORREVIGIA;ALICANTE;TORREVIEJA;3;380000;0041452;702313;4208321;ETRS89;;01/02/2021;
7042;TORRELAMATA;ALICANTE;TORREVIEJA;10;380131;0039302;705535;4211209;ETRS89;;01/01/1966;
7080X;BENIZAR;MURCIA;MORATALLA;955;381606;0159112;588668;4236074;ETRS89;;01/01/2008;
7096B;HELLÍN;ALBACETE;HELLÍN;605;383231;0142112;613027;4266745;ETRS89;08355;01/08/1987;
7103Y;TOBARRA;ALBACETE;TOBARRA;615;383517;0141222;614141;4271879;ETRS89;;01/03/2009;
7114C;MORATALLA (P. BOMBEROS);MURCIA;MORATALLA;710;381041;0153212;597290;4226145;ETRS89;;01/03/2000;
7116;CALASPARRA (C.F.ESTACION);MURCIA;CALASPARRA;390;381614;0141162;614784;4236640;ETRS89;;01/05/1967;
7118C;CARAVACA (ARCHIVEL);MURCIA;CARAVACA DE LA CRUZ;881;380355;0200032;587644;4213520;ETRS89;;01/11/2005;
7118D;CARAVACA (LA  ENCARNACIÓN);MURCIA;CARAVACA DE LA CRUZ;739;380246;0152582;598026;4211512;ETRS89;;01/11/2008;
7119B;CARAVACA,FUENTES DEL MARQUÉS;MURCIA;CARAVACA DE LA CRUZ;643;380609;0152382;598441;4217783;ETRS89;08365;01/01/2009;
7120C;CEHEGIN, CIUDAD;MURCIA;CEHEGÍN;563;380543;0147412;605682;4217064;ETRS89;;01/01/1991;
7121A;CALASPARRA;MURCIA;CALASPARRA;350;381403;0142082;613580;4232593;ETRS89;;01/01/2008;
7127X;BULLAS;MURCIA;BULLAS;640;380257;0141432;614477;4212074;ETRS89;;01/12/2007;
7129;CALASPARRA (EMB. ALFONSO XIII);MURCIA;CALASPARRA;312;381311;0135532;622719;4231114;ETRS89;;01/01/1933;
7138B;JUMILLA EL ALBAL;MURCIA;JUMILLA;485;382732;0120072;645247;4258045;ETRS89;;01/03/2008;
7156;RICOTE (LA CALERA);MURCIA;RICOTE;480;380842;0123022;641612;4223128;ETRS89;;01/08/1944;
7158X;ARCHENA;MURCIA;ARCHENA;150;380741;0118212;648489;4221379;ETRS89;;01/01/2008;
7164I;LORQUI;MURCIA;LORQUÍ;100;380506;0115212;652960;4216675;ETRS89;;01/07/1994;
7168;MULA (EMB. DE LA CIERVA);MURCIA;MULA;395;380336;0129212;632540;4213541;ETRS89;;01/01/1933;
7170C;PLIEGO (PRESA);MURCIA;MULA;350;375904;0131342;629432;4205105;ETRS89;;01/01/2001;
7172X;MULA, P. BOMBEROS;MURCIA;MULA;255;380229;0126572;636087;4211543;ETRS89;;01/02/2005;
7175;CAMPOS DEL RIO, AYTO.;MURCIA;CAMPOS DEL RÍO;150;380226;0121002;644788;4211592;ETRS89;;01/01/2004;
7178I;MURCIA;MURCIA;MURCIA;62;380007;0110152;660598;4207610;ETRS89;08430;01/04/1984;
7182;MURCIA, ALFONSO X;MURCIA;MURCIA;57;375924;0107462;664258;4206348;ETRS89;;01/09/1967;
7182D;MURCIA, MUSEO DE LA CIENCIA;MURCIA;MURCIA;45;375850;0107592;663963;4205303;ETRS89;;01/05/2023;
7194;MARIA;ALMERIA;MARÍA;1190;374245;0210002;573447;4174234;ETRS89;;01/01/1964;
7195X;CARAVACA (LOS ROYOS- AUT.);MURCIA;CARAVACA DE LA CRUZ;985;375534;0203302;582760;4198035;ETRS89;;01/02/2005;
7203A;ZARZILLA DE RAMOS;MURCIA;LORCA;646;375041;0152112;599446;4189189;ETRS89;;01/12/2007;
7209;LORCA;MURCIA;LORCA;312;373917;0141142;615799;4168318;ETRS89;08426;01/01/1953;
7211B;PUERTO LUMBRERAS;MURCIA;PUERTO LUMBRERAS;445;373405;0147502;606219;4158572;ETRS89;;01/05/1999;
7215A;TOTANA 'MORRON DE ESPUÑA';MURCIA;TOTANA;1579;375135;0134312;625325;4191199;ETRS89;;01/08/1992;
7218Y;TOTANA;MURCIA;TOTANA;281;374531;0130462;631005;4180075;ETRS89;;01/04/2019;
7219;ALHAMA (HUERTA ESPU¥A);MURCIA;ALHAMA DE MURCIA;760;375123;0131042;630390;4190908;ETRS89;;01/09/1913;
7220;ALHAMA (LOS QUEMADOS);MURCIA;ALHAMA DE MURCIA;705;375253;0129032;633302;4193729;ETRS89;;01/01/1950;
7227X;ALHAMA (COMARZA);MURCIA;ALHAMA DE MURCIA;157;375142;0120052;646486;4191774;ETRS89;;01/06/2004;
7228;MURCIA/ALCANTARILLA;MURCIA;MURCIA;75;375728;0113432;655618;4202611;ETRS89;08429;01/01/1940;
7232;SANTOMERA;MURCIA;SANTOMERA;36;380332;0102592;671099;4214137;ETRS89;;01/01/1953;
7233A;MURCIA-ORILLA DEL MERANCHO;MURCIA;MURCIA;33;380112;0103542;669848;4209793;ETRS89;;01/01/2010;
