INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
5060X;VÉLEZ BLANCO TOPARES;ALMERIA;VÉLEZ-BLANCO;1190;375139;0213412;567903;4190655;ETRS89;;01/01/2010;
6332Y;CARBONERAS (FARO MESA ROLDAN) AUTOMATICA;ALMERIA;CARBONERAS;222;365632;0154252;597331;4089021;ETRS89;08488;01/07/2021;
6340X;GARRUCHA, PUERTO;ALMERIA;GARRUCHA;6;371044;0149002;605043;4115373;ETRS89;;01/02/2009;
6364X;ALBOX;ALMERIA;ALBOX;508;372424;0209052;575103;4140325;ETRS89;;01/12/2008;
6367B;HUERCAL OVERA;ALMERIA;HUÉRCAL-OVERA;300;372326;0156372;593512;4138723;ETRS89;08428;01/04/1988;
7002Y;ÁGUILAS;MURCIA;ÁGUILAS;26;372502;0135132;625041;4142095;ETRS89;08432;01/01/2009;
7007Y;MAZARRÓN/LAS TORRES;MURCIA;MAZARRÓN;66;373517;0113502;656224;4161583;ETRS89;;01/11/2017;
7012C;CARTAGENA;MURCIA;CARTAGENA;17;373604;0059162;677630;4163463;ETRS89;08434;01/09/1988;
7012D;CARTAGENA-TENTEGORRA;MURCIA;CARTAGENA;56;373616;0101242;674483;4163767;ETRS89;08434;01/02/2016;
7019X;CARTAGENA/SALINAS CABO PALOS;MURCIA;CARTAGENA;2;373809;0042562;701570;4167867;ETRS89;;01/02/2022;
7020C;MURCIA AEROPUERTO;MURCIA;MURCIA;205;374827;0107412;664788;4186108;ETRS89;;01/01/2019;
7023X;FUENTE ÁLAMO;MURCIA;FUENTE ÁLAMO DE MURCIA;140;374335;0110022;661516;4177040;ETRS89;;01/12/2007;
7026X;TORRE PACHECO (C.C.A.);MURCIA;TORRE-PACHECO;50;374420;0058032;679088;4178790;ETRS89;;01/04/2005;
7031X;MURCIA/SAN JAVIER II;MURCIA;SAN JAVIER;4;374642;0048212;693232;4183489;ETRS89;08433;01/01/2011;
7066Y;EMBALSE DE LA FUENSANTA (AUTOMÁTICA);ALBACETE;YESTE;680;382331;0213122;568112;4249583;ETRS89;;01/03/2003;
7072Y;SEGE;ALBACETE;YESTE;960;381742;0217382;561746;4238783;ETRS89;;01/01/2010;
7080X;BENIZAR;MURCIA;MORATALLA;955;381606;0159112;588668;4236074;ETRS89;;01/01/2008;
7096B;HELLÍN;ALBACETE;HELLÍN;605;383231;0142112;613027;4266745;ETRS89;08355;01/08/1987;
7103Y;TOBARRA;ALBACETE;TOBARRA;615;383517;0141222;614141;4271879;ETRS89;;01/03/2009;
7119B;CARAVACA,FUENTES DEL MARQUÉS;MURCIA;CARAVACA DE LA CRUZ;643;380609;0152382;598441;4217783;ETRS89;08365;01/01/2009;
7121A;CALASPARRA;MURCIA;CALASPARRA;350;381403;0142082;613580;4232593;ETRS89;;01/01/2008;
7127X;BULLAS;MURCIA;BULLAS;640;380257;0141432;614477;4212074;ETRS89;;01/12/2007;
7138B;JUMILLA EL ALBAL;MURCIA;JUMILLA;485;382732;0120072;645247;4258045;ETRS89;;01/03/2008;
7158X;ARCHENA;MURCIA;ARCHENA;150;380741;0118212;648489;4221379;ETRS89;;01/01/2008;
7172X;MULA, P. BOMBEROS;MURCIA;MULA;255;380229;0126572;636087;4211543;ETRS89;;01/02/2005;
7195X;CARAVACA (LOS ROYOS- AUT.);MURCIA;CARAVACA DE LA CRUZ;985;375534;0203302;582760;4198035;ETRS89;;01/02/2005;
