INDICATIVO			ANO			MES			ALTITUD			C_X			C_Y			LONGITUD			LATITUD			PMES77
5060X			2023			9			1190			567903			4190655			0213412			375139			280
6367B			2023			9			300			593512			4138723			0156372			3723				26			356
7002Y			2023			9			26			625041			4142095			0135132			372502			196
7007Y			2023			9			66			656224			4161583			0113502			373517			296
7012C			2023			9			17			677630			4163463			0059162			373604			181
7012D			2023			9			56			674483			4163767			0101242			373616			310
7017E			2023			9			70			697960			4164942			0045262			373637			348
7019X			2023			9			2			701570			4167867			0042562			373809			370
7020C			2023			9			205			664788			4186108			0107412			374827			223
7023X			2023			9			140			661516			4177040			0110022			374335			338
7026E			2023			9			50			676313			4173355			0100012			374126			222
7026X			2023			9			50			679088			4178790			0058032			374420			214
7031			2023			9			4			693425			4184666			0048122			374720			303
7031X			2023			9			4			693232			4183489			0048212			374642			286
7032			2023			9			19			694138			4189639			0047382			375001			127
7037B			2023			9			15			699962			4200676			0043292			375554			356
7038C			2023			9			9			703003			4206087			0041192			375847			301
7038D			2023			9			3			702313			4208321			0041452			380000			304
7042			2023			9			10			705535			4211209			0039302			380131			289
7080X			2023			9			955			588668			4236074			0159112			381606			1012
7096B			2023			9			605			613027			4266745			0142112			383231			295
7103Y			2023			9			615			614141			4271879			0141222			383517			358
7114C			2023			9			710			597290			4226145			0153212			381041			647
7116			2023			9			390			614784			4236640			0141162			381614			292
7118C			2023			9			881			587644			4213520			0200032			380355			277
7118D			2023			9			739			598026			4211512			0152582			380246			443
7119B			2023			9			643			598441			4217783			0152382			380609			372
7120C			2023			9			563			605682			4217064			0147412			380543			616
7121A			2023			9			350			613580			4232593			0142082			381403			426
7127X			2023			9			640			614477			4212074			0141432			380257			388
7129			2023			9			312			622719			4231114			0135532			381311			471
7138B			2023			9			485			645247			4258045			0120072			382732			232
7156			2023			9			480			641612			4223128			0123022			380842			496
7158X			2023			9			150			648489			4221379			0118212			380741			396
7164I			2023			9			100			652960			4216675			0115212			380506			697
7168			2023			9			395			632540			4213541			0129212			380336			322
7170C			2023			9			350			629432			4205105			0131342			375904			569
7172X			2023			9			255			636087			4211543			0126572			380229			328
7175			2023			9			150			644788			4211592			0121002			380226			842
7178I			2023			9			62			660598			4207610			0110152			380007			590
7182			2023			9			57			664258			4206348			0107462			375924			414
7182D			2023			9			45			663963			4205303			0107592			375850			340
7194			2023			9			1190			573447			4174234			0210002			374245			598
7195X			2023			9			985			582760			4198035			0203302			375534			350
7203A			2023			9			646			599446			4189189			0152112			375041			320
7209			2023			9			312			615799			4168318			0141142			373917			207
7211B			2023			9			445			606219			4158572			0147502			373405			278
7215A			2023			9			1579			625325			4191199			0134312			375135			501
7218Y			2023			9			281			631005			4180075			0130462			374531			332
7219			2023			9			760			630390			4190908			0131042			375123			724
7220			2023			9			705			633302			4193729			0129032			375253			747
7227X			2023			9			157			646486			4191774			0120052			375142			248
7228			2023			9			75			655618			4202611			0113432			375728			421
7232			2023			9			36			671099			4214137			0102592			380332			660
7233A			2023			9			33			669848			4209793			0103542			380112			565
7237E			2023			9			170			661370			4222828			0109312			380820			392
7244			2023			9			26			677074			4215260			0058532			380404			468
7244X			2023			9			26			677074			4215260			0058532			380404			460
7245A			2023			9			22			680066			4216682			0056492			380448			572
