INDICATIVO			ANO			MES			ALTITUD			C_X			C_Y			LONGITUD			LATITUD			PMES77
5060X			2023			9			1190			567903			4190655			0213412			375139			280
6332Y			2023			9			222			597331			4089021			0154252			365632			494
6340X			2023			9			6			605043			4115373			0149002			371044			198
6364X			2023			9			508			575103			4140325			0209052			372424			274
6367B			2023			9			300			593512			4138723			0156372			372326			356
7002Y			2023			9			26			625041			4142095			0135132			372502			196
7007Y			2023			9			66			656224			4161583			0113502			373517			296
7012C			2023			9			17			677630			4163463			0059162			373604			181
7012D			2023			9			56			674483			4163767			0101242			373616			310
7019X			2023			9			2			701570			4167867			0042562			373809			370
7020C			2023			9			205			664788			4186108			0107412			374827			223
7023X			2023			9			140			661516			4177040			0110022			374335			338
7026X			2023			9			50			679088			4178790			0058032			374420			214
7031X			2023			9			4			693232			4183489			0048212			374642			286
7066Y			2023			9			680			568112			4249583			0213122			382331			390
7072Y			2023			9			960			561746			4238783			0217382			381742			510
7080X			2023			9			955			588668			4236074			0159112			381606			1012
7096B			2023			9			605			613027			4266745			0142112			383231			295
7103Y			2023			9			615			614141			4271879			0141222			383517			358
7119B			2023			9			643			598441			4217783			0152382			380609			372
7121A			2023			9			350			613580			4232593			0142082			381403			426
7127X			2023			9			640			614477			4212074			0141432			380257			388
7138B			2023			9			485			645247			4258045			0120072			382732			232
7158X			2023			9			150			648489			4221379			0118212			380741			396
7172X			2023			9			255			636087			4211543			0126572			380229			328
7195X			2023			9			985			582760			4198035			0203302			375534			350
7203A			2023			9			646			599446			4189189			0152112			375041			320
7209			2023			9			312			615799			4168318			0141142			373917			207
7211B			2023			9			445			606219			4158572			0147502			373405			278
7218Y			2023			9			281			631005			4180075			0130462			374531			332
7227X			2023			9			157			646486			4191774			0120052			375142			248
7237E			2023			9			170			661370			4222828			0109312			380820			392
7244X			2023			9			26			677074			4215260			0058532			380404			460
7247X			2023			9			575			671322			4251990			0102172			382359			231
7250C			2023			9			174			672171			4229217			0102022			381140			352
7261X			2023			9			31			700365			4218051			0042552			380517			506
7275C			2023			9			640			660249			4274181			0109352			383606			226
8005X			2023			9			622			691463			4294672			0047452			384648			432
8008Y			2023			9			486			685931			4271992			0051562			383437			254
8013X			2023			9			230			695835			4251099			0045282			382312			452
8018X			2023			9			110			702856			4240261			0040502			381715			432
8025			2023			9			81			718904			4250120			0029392			382221			993
8036Y			2023			9			36			749453			4270018			0008162			383237			432
8050X			2023			9			15			775167			4297534			0010041			384701			984
8057C			2023			9			60			750089			4303709			0007062			385048			658
8058Y			2023			9			12			748040			4315157			0008162			385701			890
8059C			2023			9			534			720778			4287781			0027392			384240			392
8072Y			2023			9			340			733351			4322115			0018172			390101			724
8175			2023			9			702			599093			4312313			0151232			385715			596
8177A			2023			9			880			616136			4310502			0139362			385609			845
8178D			2023			9			674			598467			4318039			0151462			390021			655
8191Y			2023			9			680			635092			4339983			0126082			391155			1036
8193E			2023			9			372			664527			4341627			0105402			391230			716
8198Y			2023			9			710			668083			4301976			0103472			385102			460
8203O			2023			9			855			664267			4327680			0106032			390458			144
8270X			2023			9			305			691017			4333930			0047242			390801			490
8283X			2023			9			350			707656			4300570			0036282			384946			686
8293X			2023			9			88			714444			4319880			0031252			390006			1340
8300X			2023			9			25			720832			4332461			0026452			390648			1396
8325X			2023			9			12			726991			4340568			0022192			391105			3179
