;Variable;Media;DevStd;Min;Max
0;TMAX1;31.516161616161618;2.351732955305966;23.0;38.0
1;TMAX2;32.374;2.1526551047485523;26.2;36.5
2;TMAX3;32.913;2.06952434148526;26.6;37.0
3;TMAX4;35.082;2.573339464586824;26.4;39.2
4;TMAX5;31.526999999999997;1.8694841534498228;25.2;36.0
5;TMAX6;31.754;1.6564673253644338;28.0;37.5
6;TMAX7;32.88686868686869;2.0335889786955508;27.4;37.0
7;TMAX8;34.11111111111111;2.149648262930703;26.9;37.4
8;TMAX9;35.273;2.217289110603306;28.6;39.5
9;TMAX10;36.33232323232323;2.5522352367291057;29.0;41.2
10;TMAX11;38.532323232323236;2.992105042004634;28.5;44.0
11;TMAX12;39.678;3.3545366297001435;28.7;44.4
12;TMAX13;34.112;1.8966960747573658;29.5;39.0
13;TMAX14;34.395959595959596;2.1142097022372637;27.8;38.0
14;TMAX15;36.19191919191919;2.484199636070719;27.6;40.0
15;TMAX16;33.757;1.7655172046740297;29.5;39.0
16;TMAX17;35.551;2.488674145001712;30.0;41.0
17;TMAX18;38.13131313131313;2.9582156259859707;30.4;45.0
18;TMAX19;40.061;2.9732102179294353;28.5;44.1
19;TMAX20;34.952;2.206149586950078;30.0;43.0
20;TMAX21;35.87070707070707;2.119236212958254;29.2;39.3
21;TMAX22;33.204040404040406;1.6832459738459271;27.7;36.3
22;TMAX23;34.472727272727276;1.8337915780923582;30.0;38.7
23;TMAX24;37.809090909090905;2.487954452029197;29.8;43.0
24;TMAX25;35.426;1.8554039991333422;29.3;39.2
25;TMAX26;31.898989898989903;1.8065813996145657;26.0;36.0
26;TMAX27;33.259595959595956;1.714520234564512;29.0;38.0
27;TMAX28;34.224242424242426;2.059081432403995;27.9;39.0
28;TMAX29;35.92626262626263;2.636020334472919;27.9;41.0
29;TMAX30;35.458999999999996;2.327277164413384;29.0;40.0
30;TMAX31;34.809183673469384;2.1174246358992415;28.2;39.0
